pb_file,node_name,op_type,dtype,output_shapes,device,input_count,inputs,attr_keys
meta_graph_2_frozen.pb,qrZXfOnhpY,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,Ae1GyL8OWV,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,lC37BO1Sm9,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,EarKZoYBvx,Const,DT_INT32,,/device:CPU:0,0,,dtype|value
meta_graph_2_frozen.pb,cPgmokpqLr,ConcatV2,DT_FLOAT,,/device:CPU:0,9,yaPpSbjN9d|rEV5kGTIKW|vmkLIi8Gst|OA0BaJPMd2|bsoR8J4PwH|qrZXfOnhpY|Ae1GyL8OWV|lC37BO1Sm9|EarKZoYBvx,N|T|Tidx
meta_graph_2_frozen.pb,rTmkzKgsE8,Const,DT_INT32,,,0,,dtype|value
meta_graph_2_frozen.pb,AcmtHkXPui,Reshape,DT_FLOAT,,,2,cPgmokpqLr|rTmkzKgsE8,T|Tshape
meta_graph_2_frozen.pb,K6jfVI5A8Z,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,8DVgxzelMv,Const,DT_INT32,,,0,,dtype|value
meta_graph_2_frozen.pb,te1qkwbTl9,Reshape,DT_FLOAT,,,2,K6jfVI5A8Z|8DVgxzelMv,T|Tshape
meta_graph_2_frozen.pb,up5CNocXK3,MatMul,DT_FLOAT,,,2,qJp0SrZDmn|AcmtHkXPui,T|grad_a|grad_b|transpose_a|transpose_b
meta_graph_2_frozen.pb,gGFLJpXMhT,BiasAdd,DT_FLOAT,,,2,up5CNocXK3|te1qkwbTl9,T|data_format
meta_graph_2_frozen.pb,1D5FvfdO2e,Relu,DT_FLOAT,,,1,gGFLJpXMhT,T
meta_graph_2_frozen.pb,Y6Vj9zaHZq,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,GyFD0REOB9,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,orOs5KDVyx,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,abUEsckwdZ,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,SAKVDPLZpM,Const,DT_INT32,,/device:CPU:0,0,,dtype|value
meta_graph_2_frozen.pb,j4Xe0TInws,ConcatV2,DT_FLOAT,,/device:CPU:0,5,Y6Vj9zaHZq|GyFD0REOB9|orOs5KDVyx|abUEsckwdZ|SAKVDPLZpM,N|T|Tidx
meta_graph_2_frozen.pb,yMl2i8pjm5,Const,DT_INT32,,,0,,dtype|value
meta_graph_2_frozen.pb,yVP5GF4zUA,Reshape,DT_FLOAT,,,2,j4Xe0TInws|yMl2i8pjm5,T|Tshape
meta_graph_2_frozen.pb,nqKrWbCXiE,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,Lv9wqHlUNR,Const,DT_INT32,,,0,,dtype|value
meta_graph_2_frozen.pb,5urJ8vMKe4,Reshape,DT_FLOAT,,,2,nqKrWbCXiE|Lv9wqHlUNR,T|Tshape
meta_graph_2_frozen.pb,GU0VB47b39,MatMul,DT_FLOAT,,,2,1D5FvfdO2e|yVP5GF4zUA,T|grad_a|grad_b|transpose_a|transpose_b
meta_graph_2_frozen.pb,Si3kFf10tW,BiasAdd,DT_FLOAT,,,2,GU0VB47b39|5urJ8vMKe4,T|data_format
meta_graph_2_frozen.pb,sMFBn02N8v,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,DGjagIcJW4,NotEqual,DT_FLOAT,,,2,qJp0SrZDmn|sMFBn02N8v,T|incompatible_shape_error
meta_graph_2_frozen.pb,ClXtsiuOk7,Cast,DT_BOOL|DT_INT64,,,1,DGjagIcJW4,DstT|SrcT|Truncate
meta_graph_2_frozen.pb,6otfQa9DcR,Const,DT_INT32,,,0,,dtype|value
meta_graph_2_frozen.pb,K6hJxSlROP,Sum,DT_INT64,,,2,ClXtsiuOk7|6otfQa9DcR,T|Tidx|keep_dims
meta_graph_2_frozen.pb,UVyMFHdLD8,Const,DT_INT64,,,0,,dtype|value
meta_graph_2_frozen.pb,4cjQvAWbV1,Greater,DT_INT64,,,2,K6hJxSlROP|UVyMFHdLD8,T
meta_graph_2_frozen.pb,nePotJzBhX,Cast,DT_BOOL|DT_FLOAT,,,1,4cjQvAWbV1,DstT|SrcT|Truncate
meta_graph_2_frozen.pb,SvgFyUdhOk,Pow,DT_FLOAT,,,2,nePotJzBhX|Si3kFf10tW,T
meta_graph_2_frozen.pb,jvViKu9JGl,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,hEmAYqVrOw,RealDiv,DT_FLOAT,,,2,jvViKu9JGl|nePotJzBhX,T
meta_graph_2_frozen.pb,8YrnfTBgWE,StopGradient,DT_FLOAT,,,1,Si3kFf10tW,T
meta_graph_2_frozen.pb,5etzX810oA,Sub,DT_FLOAT,,,2,hEmAYqVrOw|8YrnfTBgWE,T
meta_graph_2_frozen.pb,83iXv0Qsw5,Sub,DT_FLOAT,,,2,SvgFyUdhOk|5etzX810oA,T
