pb_file,node_name,op_type,dtype,output_shapes,device,input_count,inputs,attr_keys
meta_graph_1_frozen.pb,YnqHmVrPI5,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,oXHRi1P9pQ,Slice,DT_FLOAT,,,3,l4bReWtsMB|vUbzlNgZha|YnqHmVrPI5,Index|T
meta_graph_1_frozen.pb,HmATr3gKsW,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,A6GPMdCOYJ,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,4h0wxCjeFz,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,qi8BT03K5S,Slice,DT_FLOAT,,,3,HmATr3gKsW|A6GPMdCOYJ|4h0wxCjeFz,Index|T
meta_graph_1_frozen.pb,oQ5OcjZJe8,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,aWU6nIcZDO,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,Qa2vc3ITqb,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,CFGjPQZnL0,Slice,DT_FLOAT,,,3,oQ5OcjZJe8|aWU6nIcZDO|Qa2vc3ITqb,Index|T
meta_graph_1_frozen.pb,IxpbBg7JTO,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,DogGb2Svyt,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,5afnZHj9cT,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,kXc31SZLaG,Slice,DT_FLOAT,,,3,IxpbBg7JTO|DogGb2Svyt|5afnZHj9cT,Index|T
meta_graph_1_frozen.pb,O5aJeUQh2G,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,Ic0STOJYuX,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,MUc25QACzG,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,NiwfqMAlFu,Slice,DT_FLOAT,,,3,O5aJeUQh2G|Ic0STOJYuX|MUc25QACzG,Index|T
meta_graph_1_frozen.pb,Ouh1XpPZaj,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,PRiwS9k7qK,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,nw5QeLSFig,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,b8pHyFUTdX,Slice,DT_FLOAT,,,3,Ouh1XpPZaj|PRiwS9k7qK|nw5QeLSFig,Index|T
meta_graph_1_frozen.pb,l5WSX3VvMK,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,K9GMpYCtv0,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,cabYERrfDV,Const,DT_INT32,,,0,,dtype|value
